AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Iris fulva,IRFU,Clump division is the usual method of increase. All,Clump division is the usual method of increase. All native iris can be grown from seed.
Lemna minor,LEMI3,NA,NA
Sarracenia rubra,SARU4,NA,NA
Sagittaria lancifolia,SALA,NA,NA
Rhus trilobata,RHTR,"To propagate, use treated seeds, root cuttings, layerings, late spring or early summer softwood cuttings, or separate suckers from parent plants.","To propagate, use treated seeds, root cuttings, layerings, late spring or early summer softwood cuttings, or separate suckers from parent plants."
Lonicera involucrata,LOIN5,"Species of Lonicera come easily from cuttings: hardwood cuttings outdoors or young, summer shoots over bottom heat. Seeds germinate well if treated.","Species of Lonicera come easily from cuttings: hardwood cuttings outdoors or young, summer shoots over bottom heat. Seeds germinate well if treated."
Shepherdia canadensis,SHCA,Plant is best propagated by cuttings. Treated seeds will also work.,Plant is best propagated by cuttings. Treated seeds will also work.
Quercus nigra,QUNI,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Decodon verticillatus,DEVE,The self-rooting tips of branches can be removed and transplanted.,The self-rooting tips of branches can be removed and transplanted.
Menyanthes trifoliata,METR3,NA,NA
Saururus cernuus,SACE,NA,NA
Platanus racemosa,PLRA,Propagation by seed is possible.,Propagation by seed is possible.
Salvia greggii,SAGR4,"Most easily grown from softwood or semi-hardwood tip cuttings. Application of a rooting hormone improves rooting. Rooting should occur in three weeks. Also propagated by root layering or from fresh, untreated seed sown in fall or winter.","Most easily grown from softwood or semi-hardwood tip cuttings. Application of a rooting hormone improves rooting. Rooting should occur in three weeks. Also propagated by root layering or from fresh, untreated seed sown in fall or winter."
Ceanothus thyrsiflorus,CETH,Most Ceanothus spp. come well from seed. Cuttings of this species may also be successful.,Most Ceanothus spp. come well from seed. Cuttings of this species may also be successful.
Fouquieria splendens,FOSP2,Will sprout from untreated seeds sown in spring or early summer. Reproduces most reliably from cuttings taken any time.,Will sprout from untreated seeds sown in spring or early summer. Reproduces most reliably from cuttings taken any time.
Penstemon spectabilis,PESP3,Propagation by,Propagation by stem cuttings and root division is possible but seed is the easiest method. Plant in spring. Division should be in the fall; softwood cutting should be taken in summer.
Aesculus californica,AECA,Fall-sown seeds germinate easily without pretreatment.,Fall-sown seeds germinate easily without pretreatment.
Fraxinus latifolia,FRLA,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.
Lobelia laxiflora,LOLA,NA,NA
Ceanothus gloriosus,CEGL,NA,NA
Erythrina herbacea,ERHE4,"Very easily propagated from scarified seed, semi-hardwood cuttings and root division.","Very easily propagated from scarified seed, semi-hardwood cuttings and root division."
Bouvardia ternifolia,BOTE2,Seed; softwood cuttings,Seed; softwood cuttings
Rumohra adiantiformis,RUAD,NA,NA
Woodwardia fimbriata,WOFI,Does well from spores.,Does well from spores.
Leucophyllum frutescens,LEFR3,"Plant seeds in greenhouse immediately after summer collection or store over winter in a cool, dry place and plant outside in spring, after final frost. Cuttings should be semi-hardwood and of the current season's growth.","Plant seeds in greenhouse immediately after summer collection or store over winter in a cool, dry place and plant outside in spring, after final frost. Cuttings should be semi-hardwood and of the current season's growth."
Silphium perfoliatum,SIPE2,Most easily propagated by seed. Sow unstratified seeds in fall or stratified seeds in spring. Deep roots make it difficult to transplant but young offshoots from parent plant can be removed and planted.,Most easily propagated by seed. Sow unstratified seeds in fall or stratified seeds in spring. Deep roots make it difficult to transplant but young offshoots from parent plant can be removed and planted.
Sisyrinchium bellum,SIBE,Easily grown from seeds sown in fall or from root divisions. Divide the clumps early in the spring just as the grass-like foliage is appearing. Plants from seed will flower the second year.,Easily grown from seeds sown in fall or from root divisions. Divide the clumps early in the spring just as the grass-like foliage is appearing. Plants from seed will flower the second year.
Tillandsia usneoides,TIUS,NA,NA
Ilex cassine,ILCA,"Seeds germinate best if planted immediately after collection. They may be pretreated with double-stratification but the essential element seems to be time. Once internal conditions in the seed are right (it may take years), it will germinate in warm moi","Seeds germinate best if planted immediately after collection. They may be pretreated with double-stratification but the essential element seems to be time. Once internal conditions in the seed are right (it may take years), it will germinate in warm moi"
Styrax americanus,STAM4,"Stratify seeds and sow in a greenhouse in January or February, or sow fresh, untreated seed outdoors in the fall. Seeds do not germinate well in warm temperatures. Silverbells can be increased by layerings or softwood cuttings.","Stratify seeds and sow in a greenhouse in January or February, or sow fresh, untreated seed outdoors in the fall. Seeds do not germinate well in warm temperatures. Silverbells can be increased by layerings or softwood cuttings."
Persea palustris,PEPA37,NA,NA
Viburnum rufidulum,VIRU,Viburnums are most often propagated from semi-hardwood cuttings taken in the fall. These should be woody at the base or taken with a heel. Rooting is slow.,Viburnums are most often propagated from semi-hardwood cuttings taken in the fall. These should be woody at the base or taken with a heel. Rooting is slow.
Myrica gale,MYGA,NA,NA
Quercus falcata,QUFA,Oaks are most often propagated from seed. Stratify seeds. Plant outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. Stratify seeds. Plant outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with wire mesh to deter rodent p
Ulmus alata,ULAL,"Elms germinated quickly from fresh, untreated seeds. Sow spring-ripening species immediately after collection; fall-ripening after winter storage and stratification. Easily transplanted.","Elms germinated quickly from fresh, untreated seeds. Sow spring-ripening species immediately after collection; fall-ripening after winter storage and stratification. Easily transplanted."
Elymus canadensis,ELCA4,Plant or divide in autumn. Sow seed on top of soil as seed needs light to germinate.,Plant or divide in autumn. Sow seed on top of soil as seed needs light to germinate.
Elymus virginicus,ELVI3,NA,NA
Andropogon gerardii,ANGE,Seed or root division during winter dormancy,Seed or root division during winter dormancy
Bouteloua curtipendula,BOCU,"Easily propagated from seed sown unstratified in fall or statified in spring. Sow 1/4"" deep. Plants may be divided while dormant in spring or fall.","Easily propagated from seed sown unstratified in fall or statified in spring. Sow 1/4"" deep. Plants may be divided while dormant in spring or fall."
Stenotaphrum secundatum,STSE,NA,NA
Eragrostis trichodes,ERTR3,NA,NA
Panicum virgatum,PAVI2,"Propagate by sowing unstratified seed in fall or stratified seed in spring. Sow 1/4""","Propagate by sowing unstratified seed in fall or stratified seed in spring. Sow 1/4"""
Sorghastrum nutans,SONU2,"Propagate by sowing unstratified seed in fall or stratified seed in spring. Sow 1/4"" deep. Division of older plants is difficult because of a dense, tangled root system.","Propagate by sowing unstratified seed in fall or stratified seed in spring. Sow 1/4"" deep. Division of older plants is difficult because of a dense, tangled root system."
Solidago caesia,SOCA4,May be grown from seed.,May be grown from seed.
Solidago ptarmicoides,OLAL2,"Divide vigorous, young plants in spring or fall. Seeds are slow to germinate.","Divide vigorous, young plants in spring or fall. Seeds are slow to germinate."
Rosa palustris,ROPA,Propagated by,Propagated by stem cuttings or division of rootstock. Softwood cuttings should be taken with a heel and treated with hormone. Rose seeds should be taken from the hips as soon as ripe and planted in the open or stratified before planting.
